year,cumulative,revenue,rev_infl,title,lead_actor,director_name
2009,1.138489257,2787965087,3174068301,Avatar,CCH Pounder,James Cameron
1997,1.562764318,1845034188,2883353595,Titanic,Leonardo DiCaprio,James Cameron
2012,1.089714997,1519557910,1655885043,The Avengers,Chris Hemsworth,Joss Whedon
2015,1.035412488,1513528810,1567126631,Jurassic World,Bryce Dallas Howard,Colin Trevorrow
2015,1.035412488,1506249360,1559589397,Furious 7,Jason Statham,James Wan
2015,1.035412488,1405403694,1455172535,Avengers: Age of Ultron,Chris Hemsworth,Joss Whedon
2013,1.067622291,1274219009,1360384618,Frozen,Josh Gad,Chris Buck
2013,1.067622291,1215439994,1297630831,Iron Man 3,Robert Downey Jr.,Shane Black
2015,1.035412488,1156730962,1197693683,Minions,Steve Carell,Kyle Balda
2016,1.034185663,1153304495,1192730974,Captain America: Civil War,Robert Downey Jr.,Anthony Russo
2011,1.124115573,1123746996,1263221498,Transformers: Dark of the Moon,Glenn Morshower,Michael Bay
2003,1.362721798,1118888979,1524734401,The Lord of the Rings: The Return of the King,Orlando Bloom,Peter Jackson
2012,1.089714997,1108561013,1208015561,Skyfall,Albert Finney,Sam Mendes
2014,1.052209187,1091405097,1148386470,Transformers: Age of Extinction,Bingbing Li,Michael Bay
2012,1.089714997,1084939099,1182274407,The Dark Knight Rises,Tom Hardy,Christopher Nolan
2010,1.142551557,1066969703,1219067895,Toy Story 3,Tom Hanks,Lee Unkrich
2006,1.255146149,1065659812,1337558809,Pirates of the Caribbean: Dead Man's Chest,Johnny Depp,Gore Verbinski
2011,1.124115573,1045713802,1175503170,Pirates of the Caribbean: On Stranger Tides,Johnny Depp,Rob Marshall
2010,1.142551557,1025491110,1171676464,Alice in Wonderland,Johnny Depp,Tim Burton
2012,1.089714997,1021103568,1112711872,The Hobbit: An Unexpected Journey,Aidan Turner,Peter Jackson
2008,1.182197002,1004558444,1187585981,The Dark Knight,Christian Bale,Christopher Nolan
2013,1.067622291,970761885,1036407028,Despicable Me 2,Steve Carell,Pierre Coffin
2016,1.034185663,966550600,999592773.3,The Jungle Book,Scarlett Johansson,Jon Favreau
2007,1.21592121,961000000,1168500283,Pirates of the Caribbean: At World's End,Johnny Depp,Gore Verbinski
2013,1.067622291,958400000,1023209204,The Hobbit: The Desolation of Smaug,Aidan Turner,Peter Jackson
2014,1.052209187,956019788,1005932804,The Hobbit: The Battle of the Five Armies,Aidan Turner,Peter Jackson
2003,1.362721798,940335536,1281415732,Finding Nemo,Alexander Gould,Andrew Stanton
2007,1.21592121,938212738,1140792768,Harry Potter and the Order of the Phoenix,Robert Pattinson,David Yates
2009,1.138489257,933959197,1063302513,Harry Potter and the Half-Blood Prince,Alan Rickman,David Yates
2002,1.384334996,926287400,1282292064,The Lord of the Rings: The Two Towers,Christopher Lee,Peter Jackson
1999,1.503724247,924317558,1389918724,Star Wars: Episode I - The Phantom Menace,Natalie Portman,George Lucas
1993,1.746902839,920100000,1607325302,Jurassic Park,Wayne Knight,Steven Spielberg
2004,1.332473386,919838758,1225660665,Shrek 2,Rupert Everett,Andrew Adamson
2005,1.29773008,895921036,1162663678,Harry Potter and the Goblet of Fire,Robert Pattinson,Mike Newell
2007,1.21592121,890871626,1083229706,Spider-Man 3,J.K. Simmons,Sam Raimi
2009,1.138489257,886686817,1009483416,Ice Age: Dawn of the Dinosaurs,Denis Leary,Carlos Saldanha
2015,1.035412488,880674609,911861488.1,Spectre,Christoph Waltz,Sam Mendes
2012,1.089714997,877244782,955946795,Ice Age: Continental Drift,Peter Dinklage,Steve Martino
2002,1.384334996,876688482,1213630546,Harry Potter and the Chamber of Secrets,Daniel Radcliffe,Chris Columbus
2016,1.034185663,875457937,905386047.2,The Secret Life of Pets,Steve Coogan,Yarrow Cheney
2016,1.034185663,873260194,903113172.9,Batman v Superman: Dawn of Justice,Henry Cavill,Zack Snyder
2001,1.423458672,871368364,1240356854,The Lord of the Rings: The Fellowship of the Ring,Christopher Lee,Peter Jackson
2015,1.035412488,857611174,887981319.4,Inside Out,Amy Poehler,Pete Docter
2005,1.29773008,850000000,1103070568,Star Wars: Episode III - Revenge of the Sith,Natalie Portman,George Lucas
2013,1.067622291,847423452,904728167.4,The Hunger Games: Catching Fire,Jennifer Lawrence,Francis Lawrence
2009,1.138489257,836297228,952115410.1,Transformers: Revenge of the Fallen,Glenn Morshower,Michael Bay
2012,1.089714997,829000000,903373732.5,The Twilight Saga: Breaking Dawn - Part 2,Robert Pattinson,Bill Condon
2010,1.142551557,825532764,943213744.7,Inception,Leonardo DiCaprio,Christopher Nolan
2002,1.384334996,821708551,1137519904,Spider-Man,J.K. Simmons,Sam Raimi
1996,1.608572132,816969268,1314153997,Independence Day,Will Smith,Roland Emmerich
